epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,1769.5,0.80342,0.4919,0.84713,0.92602,0.96259,0.97448,0.73759,0.96123,0.55998,0.86775,0.00050704,0.00050704,0.00050704
136,1784.03,0.81012,0.48526,0.83648,0.94429,0.96191,0.97839,0.74835,0.96817,0.55907,0.87632,0.00050404,0.00050404,0.00050404
137,1795.03,0.81772,0.49552,0.84909,0.93741,0.96007,0.97372,0.74938,0.96309,0.56346,0.87455,0.000501041,0.000501041,0.000501041
138,1807.79,0.80144,0.48298,0.85013,0.94279,0.94238,0.9727,0.71813,1.04287,0.57476,0.88894,0.000498041,0.000498041,0.000498041
139,1821.52,0.8106,0.48904,0.84498,0.93015,0.92377,0.95771,0.73559,0.94957,0.57998,0.86887,0.000495041,0.000495041,0.000495041
140,1833.75,0.79906,0.47902,0.84528,0.92896,0.92937,0.95641,0.70224,1.03245,0.61884,0.88534,0.000492042,0.000492042,0.000492042
141,1845.99,0.78457,0.47909,0.84597,0.92973,0.95331,0.97141,0.74708,0.96677,0.57272,0.87013,0.000489042,0.000489042,0.000489042
142,1860.15,0.79323,0.48006,0.84307,0.94553,0.96075,0.97656,0.73265,1.03439,0.56367,0.8934,0.000486042,0.000486042,0.000486042
143,1872.8,0.81385,0.48334,0.84889,0.92528,0.94449,0.96963,0.73169,0.98163,0.56894,0.87231,0.000483043,0.000483043,0.000483043
144,1884.61,0.80369,0.48261,0.84908,0.92801,0.94278,0.97786,0.7398,0.97964,0.58075,0.87975,0.000480043,0.000480043,0.000480043
145,1898.51,0.80195,0.48467,0.84568,0.93156,0.95506,0.97488,0.73177,0.99785,0.58904,0.88384,0.000477043,0.000477043,0.000477043
146,1912.08,0.79025,0.4743,0.84592,0.93207,0.96086,0.97712,0.74616,0.96129,0.55551,0.8698,0.000474043,0.000474043,0.000474043
147,1923.16,0.79633,0.48619,0.83972,0.93072,0.95791,0.97014,0.74725,0.94151,0.5656,0.86449,0.000471044,0.000471044,0.000471044
148,1937.26,0.80006,0.4916,0.84888,0.92028,0.96819,0.96564,0.72366,1.00129,0.58739,0.88339,0.000468044,0.000468044,0.000468044
149,1950.55,0.78417,0.47337,0.83478,0.94359,0.96356,0.96859,0.72896,1.00762,0.57038,0.88345,0.000465044,0.000465044,0.000465044
150,1961.53,0.78548,0.47031,0.84382,0.93134,0.94128,0.97168,0.74871,0.97149,0.56043,0.87402,0.000462045,0.000462045,0.000462045
151,1975.25,0.80586,0.48292,0.84463,0.93804,0.9322,0.96775,0.72577,1.03054,0.57834,0.88227,0.000459045,0.000459045,0.000459045
152,1989.28,0.80572,0.48926,0.83914,0.94772,0.96282,0.97074,0.71835,1.00314,0.57721,0.89143,0.000456045,0.000456045,0.000456045
153,2000.29,0.77788,0.47227,0.84077,0.94664,0.94319,0.97629,0.74293,0.96576,0.56322,0.87647,0.000453046,0.000453046,0.000453046
154,2013.92,0.78889,0.47762,0.84,0.9557,0.92656,0.98405,0.73418,1.0266,0.54602,0.8875,0.000450046,0.000450046,0.000450046
155,2027.88,0.78321,0.46986,0.84277,0.93629,0.9573,0.9761,0.72911,1.07377,0.56133,0.90486,0.000447046,0.000447046,0.000447046
156,2038.43,0.78836,0.46398,0.84566,0.93829,0.93811,0.96155,0.75373,0.95576,0.57641,0.86766,0.000444046,0.000444046,0.000444046
